Comment,Designator,Footprint,LCSC
HDR-IDC-2_54-2X5P,"P102,P104,P106",IDC-TH_10P-P2.54_C5665,C5665
RVT0J102M0810,C127,CAP-SMD_BD8.0-L8.3-W8.3-FD,C42851
WS2812E-MINI-X1,"U107,U108,U109,U110,U111,U112,U113,U114,U115,U116,U117,U118,U119,U120,U121,U122,U123,U124,U125,U126,U127,U128,U129,U130,U131,U132,U133,U134,U135",LED-SMD_4P-L3.7-W3.5-P1.75-BR-SK6812MINI,C4154871
CC0603KRX7R9BB104,"C101,C102,C103,C104,C105,C106,C107,C109,C110,C111,C112",C0603,C14663
2mm_clamp,"J101,J102,J103,J104,J105,J106,J107,J108,J109,J110,J111,J112,J113,J114,J115,J116,J117,J118,J119,J120,J121,J122,J123,J124,J125,J126,J127,J128,J129","Kaboom_box:2mm testlead, screw-clamp",
0603WAF1002T5E,"R106,R107,R108,R109,R112",R0603,C25804
0603WAF1003T5E,"R104,R105,R110,R111",R0603,C25803
1N5819WS,"D101,D102",SOD-323_L1.8-W1.3-LS2.5-RD,C191023
Screw_Terminal_01x02,J162,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",
AO3400A,"U106,U149",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C20917
CPG151101D214,KEY101,KEY-TH_CPG151101D21X,C400232
0805W8F0000T5E,"R113,R120",R0805,C17477
EC12E1220813,U102,SW-TH_EC12E1220813,C129727
TS-1187A-B-A-B,"U104,U105",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,C318884
RaspberryPi_Pico,U103,Module_RaspberryPi_Pico:RaspberryPi_Pico_Common_No_Keepout,
USB-B-Female-TH_C46393,c108,USB-B_TH_BF90,C46393
ZL-YDW1207-4005PA-7_5,BUZ101,BUZ-TH_BD12.6-P7.50-D0.9,C219725
SS54_C22452,U101,SMA_L4.4-W2.8-LS5.4-R-RD,C22452
0603WAF100JT5E,"R114,R116,R118",R0603,C22859
0603WAF2000T5E,"R115,R117,R119",R0603,C8218
KT-0603R,"LED101,LED102,LED103",LED0603-RD,C2286
0603B152K500NT,"C113,C114,C115",C0603,C1595
MT-0-103-F001-T000-RS+PJ,"U140,U141,U142",SW-TH_MT-0-103-A101-M200-RS,C1788498
"74HC595D,118","U136,U137,U138,U139",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,C5947
