Designator,Mid X,Mid Y,Layer,Rotation
BUZ101,87.75,-107.75,T,270.00
C101,148.25,-72.50,T,90.00
C102,148.25,-128.25,T,90.00
C103,141.25,-72.50,T,90.00
C104,141.25,-128.25,T,90.00
C105,134.00,-72.50,T,90.00
C106,134.00,-128.00,T,90.00
C107,126.50,-72.50,T,90.00
C109,197.50,-158.25,T,90.00
C110,183.50,-158.25,T,90.00
C111,169.50,-158.25,T,90.00
C112,155.50,-158.25,T,90.00
C113,104.50,-54.50,T,0.00
C114,104.50,-71.75,T,0.00
C115,104.50,-89.10,T,0.00
C127,83.10,-120.35,T,0.00
D101,93.75,-114.25,T,270.00
D102,162.20,-144.70,T,0.00
J101,204.00,-51.00,T,270.00
J102,204.00,-149.00,T,270.00
J103,190.00,-65.00,T,270.00
J104,204.00,-65.00,T,270.00
J105,190.00,-79.00,T,270.00
J106,190.00,-51.00,T,270.00
J107,204.00,-79.00,T,270.00
J108,190.00,-93.00,T,270.00
J109,204.00,-93.00,T,270.00
J110,190.00,-107.00,T,270.00
J111,204.00,-107.00,T,270.00
J112,190.00,-121.00,T,270.00
J113,204.00,-121.00,T,270.00
J114,190.00,-135.00,T,270.00
J115,204.00,-135.00,T,270.00
J116,190.00,-149.00,T,270.00
J117,176.00,-65.00,T,270.00
J118,162.00,-65.00,T,270.00
J119,176.00,-79.00,T,270.00
J120,176.00,-51.00,T,270.00
J121,162.00,-79.00,T,270.00
J122,162.00,-51.00,T,270.00
J123,176.00,-93.00,T,270.00
J124,162.00,-93.00,T,270.00
J125,176.00,-107.00,T,270.00
J126,162.00,-107.00,T,270.00
J127,176.00,-121.00,T,270.00
J128,176.00,-135.00,T,270.00
J129,176.00,-149.00,T,270.00
J162,164.95,-147.71,B,180.00
KEY101,91.56,-58.36,T,270.00
LED101,104.50,-49.05,T,0.00
LED102,104.50,-66.25,T,0.00
LED103,104.40,-83.10,T,0.00
P102,217.50,-65.00,T,90.00
P104,217.95,-100.00,T,90.00
P106,217.50,-135.00,T,90.00
R101,90.40,-149.70,T,270.00
R102,130.85,-149.75,T,0.00
R103,130.85,-152.30,T,0.00
R104,123.50,-151.15,T,180.00
R105,123.50,-148.80,T,180.00
R106,82.35,-76.05,T,0.00
R107,82.30,-92.00,T,180.00
R108,123.50,-138.50,T,180.00
R109,123.50,-136.00,T,180.00
R110,123.50,-125.74,T,180.00
R111,123.50,-123.20,T,180.00
R112,91.10,-68.30,T,180.00
R113,90.80,-119.90,T,0.00
R114,105.25,-51.75,T,270.00
R115,103.75,-51.75,T,90.00
R116,105.30,-69.00,T,270.00
R117,103.80,-69.00,T,90.00
R118,105.25,-86.00,T,270.00
R119,103.75,-86.00,T,90.00
R120,159.80,-151.70,T,270.00
U101,94.20,-151.20,T,270.00
U102,83.82,-84.03,T,270.00
U103,109.00,-127.00,T,180.00
U104,87.75,-130.00,T,270.00
U105,88.00,-141.00,T,270.00
U106,90.50,-116.60,T,270.00
U107,151.00,-51.00,T,90.00
U108,151.00,-65.00,T,90.00
U109,151.00,-79.00,T,90.00
U110,151.00,-93.00,T,90.00
U111,151.00,-107.00,T,90.00
U112,151.00,-121.00,T,90.00
U113,151.00,-135.00,T,90.00
U114,151.00,-149.00,T,90.00
U115,144.00,-51.00,T,90.00
U116,144.00,-65.00,T,90.00
U117,144.00,-79.00,T,90.00
U118,144.00,-93.00,T,90.00
U119,144.00,-107.00,T,90.00
U120,144.00,-121.00,T,90.00
U121,144.00,-135.00,T,90.00
U122,144.00,-149.00,T,90.00
U123,137.00,-51.00,T,90.00
U124,137.00,-65.00,T,90.00
U125,137.00,-79.00,T,90.00
U126,137.00,-93.00,T,90.00
U127,137.00,-107.00,T,90.00
U128,137.00,-121.00,T,90.00
U129,137.00,-135.00,T,90.00
U130,137.00,-149.00,T,90.00
U131,130.00,-51.00,T,90.00
U132,130.00,-65.00,T,90.00
U133,130.00,-79.00,T,90.00
U134,130.00,-93.00,T,90.00
U135,130.00,-107.00,T,90.00
U136,204.00,-160.00,T,180.00
U137,190.00,-160.00,T,180.00
U138,176.00,-160.00,T,180.00
U139,162.00,-160.00,T,180.00
U140,115.00,-52.00,T,180.00
U141,115.00,-69.25,T,180.00
U142,115.00,-86.25,T,180.00
U149,163.85,-151.55,T,180.00
c108,128.25,-157.95,T,0.00
