Designator,Mid X,Mid Y,Layer,Rotation
C116,122.24,-50.04,T,180.00
C117,122.06,-77.79,T,180.00
C118,122.06,-106.04,T,180.00
C119,122.06,-133.79,T,180.00
C120,174.54,-68.89,T,90.00
C121,174.54,-124.99,T,90.00
C122,167.54,-68.89,T,90.00
C123,167.54,-124.99,T,90.00
C124,160.54,-68.89,T,90.00
C125,160.29,-124.99,T,90.00
C126,153.49,-68.89,T,90.00
C128,186.82,-41.71,T,0.00
J130,142.54,-49.54,T,270.00
J131,142.54,-63.54,T,270.00
J132,142.54,-77.54,T,270.00
J133,142.54,-91.54,T,270.00
J134,142.54,-105.54,T,270.00
J135,142.54,-119.54,T,270.00
J136,142.54,-133.54,T,270.00
J137,142.54,-147.54,T,270.00
J138,128.54,-49.54,T,270.00
J139,128.54,-63.54,T,270.00
J140,128.54,-77.54,T,270.00
J141,128.54,-91.54,T,270.00
J142,128.54,-105.54,T,270.00
J143,128.54,-119.54,T,270.00
J144,128.54,-133.54,T,270.00
J145,128.54,-147.54,T,270.00
J146,109.54,-49.54,T,270.00
J147,109.54,-63.54,T,270.00
J148,109.54,-77.54,T,270.00
J149,109.54,-91.54,T,270.00
J150,109.54,-105.54,T,270.00
J151,109.54,-119.54,T,270.00
J152,109.54,-133.54,T,270.00
J153,109.54,-147.54,T,270.00
J154,95.54,-49.54,T,270.00
J155,95.54,-63.54,T,270.00
J156,95.54,-77.54,T,270.00
J157,95.54,-91.54,T,270.00
J158,95.54,-105.54,T,270.00
P101,82.27,-63.54,T,90.00
P103,82.27,-98.50,T,90.00
P105,82.27,-133.50,T,90.00
U144,212.74,-98.50,T,270.00
U145,119.50,-56.66,T,270.00
U146,119.32,-84.37,T,270.00
U147,119.32,-112.66,T,270.00
U148,119.32,-140.26,T,270.00
U150,177.26,-49.54,T,90.00
U151,177.26,-63.54,T,90.00
U152,177.26,-77.54,T,90.00
U153,177.26,-91.54,T,90.00
U154,177.26,-105.54,T,90.00
U155,177.26,-119.54,T,90.00
U156,177.26,-133.54,T,90.00
U157,177.26,-147.54,T,90.00
U158,170.26,-49.54,T,90.00
U159,170.26,-63.54,T,90.00
U160,170.26,-77.54,T,90.00
U161,170.26,-91.54,T,90.00
U162,170.26,-105.54,T,90.00
U163,170.26,-119.54,T,90.00
U164,170.26,-133.54,T,90.00
U165,170.26,-147.54,T,90.00
U166,163.26,-49.54,T,90.00
U167,163.26,-63.54,T,90.00
U168,163.26,-77.54,T,90.00
U169,163.26,-91.54,T,90.00
U170,163.26,-105.54,T,90.00
U171,163.26,-119.54,T,90.00
U172,163.26,-133.54,T,90.00
U173,163.26,-147.54,T,90.00
U174,156.26,-49.54,T,90.00
U175,156.26,-63.54,T,90.00
U176,156.26,-77.54,T,90.00
U177,156.26,-91.54,T,90.00
U178,156.26,-105.54,T,90.00
