11-12 22:56:26 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 409:Plugin executed on: 'win32'
11-12 22:56:26 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 410:Plugin executed with python version: '3.11.5 (main, Jun 15 2025, 06:45:45) [MSC v.1942 64 bit (AMD64)]'
11-12 22:56:26 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 411:KiCad build version: 9.0.3
11-12 22:56:26 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 412:Plugin version: 4.0.3
11-12 22:56:26 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 413:Frame repr: <wx._core.Frame object at 0x00000233D76FFA30>
11-12 22:56:26 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 437:Preparing replicator with LED142 as a reference
11-12 22:56:26 com_github_MitjaNemec_ReplicateLayout.replicate_layout 117:getting a list of all footprints on board
11-12 22:56:33 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 485:source anchor footprint is 'LED142'
Located on: ['Top', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single']
With filenames: ['Top.kicad_sch', 'LEDs_bottom.kicad_sch', 'LEDS_discreet.kicad_sch', 'LED_single.kicad_sch']
With sheet_id:['Top', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single']
11-12 22:56:33 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 492:Corresponding footprints are 
[('LED223', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single3']), ('LED199', ['Top', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single']), ('LED202', ['Top', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single']), ('LED139', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single2']), ('LED172', ['Top', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single3']), ('LED133', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single2']), ('LED277', ['Top', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single1']), ('LED241', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single1']), ('LED175', ['Top', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single']), ('LED136', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single3']), ('LED217', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single1']), ('LED211', ['Top', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single3']), ('LED109', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single']), ('LED286', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single']), ('LED256', ['Top', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single2']), ('LED250', ['Top', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single']), ('LED289', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single1']), ('LED205', ['Top', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single1']), ('LED154', ['Top', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single2']), ('LED160', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single1']), ('LED292', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single2']), ('LED187', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single']), ('LED148', ['Top', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single2']), ('LED226', ['Top', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single']), ('LED229', ['Top', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single1']), ('LED280', ['Top', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single2']), ('LED196', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single3']), ('LED262', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single']), ('LED271', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single3']), ('LED232', ['Top', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single2']), ('LED259', ['Top', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single3']), ('LED238', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single']), ('LED283', ['Top', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single3']), ('LED121', ['Top', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single3']), ('LED253', ['Top', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single1']), ('LED190', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single1']), ('LED145', ['Top', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single1']), ('LED127', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single']), ('LED268', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single2']), ('LED104', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single1']), ('LED220', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single2']), ('LED235', ['Top', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single3']), ('LED118', ['Top', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single2']), ('LED265', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single1']), ('LED208', ['Top', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single2']), ('LED193', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single2']), ('LED124', ['Top', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single1']), ('LED295', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single3']), ('LED157', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single']), ('LED151', ['Top', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single3']), ('LED274', ['Top', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single']), ('LED115', ['Top', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single1']), ('LED178', ['Top', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single1']), ('LED244', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single2']), ('LED130', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single1']), ('LED214', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single']), ('LED169', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single3']), ('LED142', ['Top', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single']), ('LED181', ['Top', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single2']), ('LED184', ['Top', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single3']), ('LED163', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single3']), ('LED247', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single3']), ('LED112', ['Top', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single']), ('LED166', ['Bottom', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single2'])]
11-12 22:56:33 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 504:Showing dialog
11-12 22:56:33 com_github_MitjaNemec_ReplicateLayout.replicate_layout 472:constructing a list of sheets suitable for replication on level:'LED_single', file:'LED_single.kicad_sch'
11-12 22:56:33 com_github_MitjaNemec_ReplicateLayout.replicate_layout 509:suitable sheets are:[['Bottom', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single3'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single3'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single3'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single3'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single3'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single3'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single3'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single'], ['Top', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single'], ['Top', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single'], ['Top', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single'], ['Top', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single'], ['Top', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single'], ['Top', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single'], ['Top', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single3']]
11-12 22:56:33 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1512:Level selected: ['Top', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single']
11-12 22:56:33 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1336:Filtering list of tracks
11-12 22:56:33 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 510:Toolbar position: wx.Point(1523, 120)
11-12 22:56:33 com_github_MitjaNemec_ReplicateLayout.action_replicate_layout 515:Dialog position: wx.Point(1084, 120)
11-12 22:56:39 com_github_MitjaNemec_ReplicateLayout.replicate_layout 472:constructing a list of sheets suitable for replication on level:'LED_single', file:'LED_single.kicad_sch'
11-12 22:56:39 com_github_MitjaNemec_ReplicateLayout.replicate_layout 509:suitable sheets are:[['Bottom', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single3'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single3'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single3'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single3'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single3'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single3'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single3'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single1'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single2'], ['Bottom', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single'], ['Top', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single'], ['Top', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet2', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single'], ['Top', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet3', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single'], ['Top', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet5', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single'], ['Top', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet6', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single'], ['Top', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet7', 'LED_single3'], ['Top', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single'], ['Top', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single1'], ['Top', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single2'], ['Top', 'LEDs_Bottom', 'LEDS_discreet8', 'LED_single3']]
11-12 22:56:39 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1512:Level selected: ['Top', 'LEDs_Bottom', 'LEDS_discreet4', 'LED_single']
11-12 22:56:39 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1336:Filtering list of tracks
11-12 22:56:39 com_github_MitjaNemec_ReplicateLayout.replicate_layout 1342:Track group: , src group:
